Gen	tau_4MEFEOG	tau_5MEFE	lnL
178710	0.021424	0.021410	-347081.483
178720	0.021734	0.021732	-347057.738
178730	0.022133	0.022110	-347072.211
178740	0.022216	0.022216	-347092.257
178750	0.022245	0.022236	-347053.921
178760	0.021955	0.021953	-347045.670
178770	0.022279	0.022278	-347100.629
178780	0.021737	0.021726	-347062.119
178790	0.022218	0.022216	-347068.035
178800	0.022741	0.022725	-347069.499
178810	0.022661	0.022657	-347070.479
178820	0.022402	0.022386	-347101.669
178830	0.022402	0.022397	-347080.554
178840	0.022546	0.022512	-347085.019
178850	0.022899	0.022868	-347065.251
178860	0.022575	0.022549	-347068.029
178870	0.022592	0.022542	-347079.649
178880	0.022820	0.022808	-347074.635
178890	0.022532	0.022528	-347080.990
178900	0.022261	0.022257	-347087.501
178910	0.022228	0.022189	-347053.165
178920	0.022207	0.022198	-347062.008
178930	0.022440	0.022393	-347051.297
178940	0.021702	0.021636	-347054.310
178950	0.022257	0.022176	-347063.069
178960	0.022257	0.022239	-347037.648
178970	0.022503	0.022487	-347067.440
178980	0.022610	0.022593	-347057.027
178990	0.022396	0.022388	-347065.967
179000	0.022090	0.022086	-347076.550
179010	0.022438	0.022389	-347081.370
179020	0.022047	0.022034	-347067.547
179030	0.022076	0.022068	-347075.726
179040	0.021721	0.021711	-347073.097
179050	0.022087	0.022073	-347072.573
179060	0.022046	0.022017	-347056.517
179070	0.021628	0.021612	-347067.436
179080	0.022125	0.022071	-347058.036
179090	0.022332	0.022278	-347049.066
179100	0.022309	0.022260	-347071.544
179110	0.022450	0.022420	-347114.436
179120	0.022627	0.022590	-347067.358
179130	0.022500	0.022463	-347063.714
179140	0.022467	0.022437	-347083.539
179150	0.022164	0.022140	-347074.294
179160	0.022845	0.022802	-347066.599
179170	0.022576	0.022541	-347069.162
179180	0.023262	0.023192	-347078.212
179190	0.022812	0.022739	-347078.516
179200	0.023086	0.023029	-347071.730
179210	0.023155	0.023134	-347087.980
179220	0.022870	0.022831	-347088.923
179230	0.023342	0.023268	-347060.402
179240	0.023225	0.023107	-347076.800
179250	0.023059	0.022901	-347076.510
179260	0.023918	0.023756	-347084.275
179270	0.023618	0.023481	-347082.785
179280	0.023753	0.023635	-347083.863
179290	0.023850	0.023788	-347093.309
179300	0.023555	0.023462	-347082.185
179310	0.023241	0.023103	-347096.219
179320	0.023626	0.023494	-347073.307
179330	0.023520	0.023358	-347080.979
179340	0.023852	0.023678	-347098.143
179350	0.024074	0.023919	-347086.384
179360	0.023586	0.023444	-347077.315
179370	0.023733	0.023564	-347071.253
179380	0.023821	0.023674	-347077.532
179390	0.023879	0.023723	-347075.106
179400	0.023770	0.023647	-347103.907
179410	0.023543	0.023490	-347094.681
179420	0.023839	0.023820	-347065.718
179430	0.023434	0.023413	-347054.716
179440	0.023618	0.023602	-347070.313
179450	0.023864	0.023832	-347085.158
179460	0.023467	0.023447	-347086.606
179470	0.023822	0.023788	-347070.121
179480	0.023403	0.023340	-347059.079
179490	0.023403	0.023386	-347070.843
179500	0.023387	0.023365	-347059.682
179510	0.023568	0.023539	-347078.622
179520	0.024131	0.024110	-347081.159
179530	0.023331	0.023296	-347101.084
179540	0.023308	0.023265	-347076.341
179550	0.023532	0.023498	-347094.576
179560	0.023763	0.023720	-347079.110
179570	0.023763	0.023737	-347087.152
179580	0.024001	0.023991	-347061.207
179590	0.023506	0.023492	-347077.137
179600	0.023274	0.023238	-347084.175
179610	0.023025	0.023019	-347052.594
179620	0.022932	0.022891	-347067.648
179630	0.022771	0.022714	-347064.693
179640	0.022699	0.022661	-347045.612
179650	0.023608	0.023597	-347067.746
179660	0.023361	0.023356	-347087.817
179670	0.023371	0.023340	-347091.280
179680	0.023827	0.023813	-347074.979
179690	0.023577	0.023537	-347067.155
179700	0.022538	0.022523	-347080.481
179710	0.023348	0.023332	-347054.097
179720	0.023338	0.023320	-347082.355
179730	0.023518	0.023490	-347083.966
179740	0.023523	0.023482	-347093.508
179750	0.023937	0.023851	-347089.469
179760	0.023815	0.023722	-347067.207
179770	0.023989	0.023948	-347081.901
179780	0.023555	0.023479	-347111.237
179790	0.023860	0.023820	-347064.901
179800	0.023374	0.023354	-347072.068
179810	0.024048	0.024023	-347064.095
179820	0.024329	0.024273	-347085.704
179830	0.024290	0.024237	-347056.779
179840	0.023530	0.023468	-347074.315
179850	0.023899	0.023759	-347081.716
179860	0.023895	0.023740	-347067.973
179870	0.024186	0.024031	-347088.612
179880	0.024047	0.023936	-347082.463
179890	0.024204	0.024063	-347090.125
179900	0.024640	0.024527	-347091.800
179910	0.024425	0.024353	-347066.252
179920	0.024609	0.024544	-347072.765
179930	0.024370	0.024266	-347080.450
179940	0.023893	0.023816	-347078.183
179950	0.023498	0.023394	-347075.487
179960	0.023479	0.023392	-347078.896
179970	0.023416	0.023308	-347075.831
179980	0.023465	0.023319	-347074.363
179990	0.023196	0.023056	-347080.044
180000	0.023097	0.023000	-347088.371
180010	0.022424	0.022354	-347077.887
180020	0.022335	0.022303	-347072.003
180030	0.022734	0.022707	-347053.082
180040	0.022611	0.022577	-347075.248
180050	0.022660	0.022607	-347045.706
180060	0.022520	0.022476	-347070.652
180070	0.022616	0.022569	-347057.416
180080	0.023107	0.023056	-347074.464
180090	0.022985	0.022929	-347063.325
180100	0.022813	0.022793	-347061.646
180110	0.022350	0.022330	-347079.700
180120	0.022702	0.022689	-347087.668
180130	0.022879	0.022876	-347074.224
180140	0.022964	0.022901	-347064.682
180150	0.022530	0.022483	-347085.320
180160	0.022390	0.022372	-347067.565
180170	0.022481	0.022476	-347064.946
180180	0.022554	0.022536	-347066.064
180190	0.022686	0.022680	-347059.016
180200	0.022252	0.022218	-347072.663
180210	0.022874	0.022850	-347076.924
180220	0.022725	0.022718	-347074.110
180230	0.022538	0.022504	-347108.762
180240	0.022079	0.022070	-347051.297
180250	0.022315	0.022257	-347073.933
180260	0.021974	0.021905	-347070.366
180270	0.022075	0.022009	-347077.497
180280	0.022075	0.022026	-347041.185
180290	0.022277	0.022229	-347037.097
180300	0.021906	0.021839	-347058.888
180310	0.022600	0.022487	-347066.842
180320	0.022129	0.021971	-347056.222
180330	0.021630	0.021547	-347065.457
180340	0.021999	0.021964	-347088.993
180350	0.021781	0.021774	-347111.322
180360	0.022026	0.022015	-347052.886
180370	0.022026	0.021994	-347112.180
180380	0.022243	0.022200	-347073.756
180390	0.022035	0.021986	-347092.624
180400	0.022001	0.021896	-347055.071
180410	0.022547	0.022510	-347074.726
180420	0.022565	0.022557	-347065.164
180430	0.022115	0.022060	-347084.110
180440	0.022381	0.022348	-347076.502
180450	0.022391	0.022383	-347085.579
180460	0.021940	0.021907	-347076.802
180470	0.022559	0.022533	-347076.649
180480	0.022424	0.022415	-347064.532
180490	0.022827	0.022764	-347059.115
180500	0.022373	0.022363	-347037.700
180510	0.022776	0.022751	-347059.948
180520	0.022670	0.022662	-347056.367
180530	0.022612	0.022526	-347057.124
180540	0.022720	0.022570	-347073.334
180550	0.022349	0.022198	-347043.383
180560	0.022494	0.022365	-347049.041
180570	0.023311	0.023218	-347080.164
180580	0.023556	0.023494	-347093.551
180590	0.023354	0.023311	-347083.808
180600	0.023345	0.023331	-347063.000
180610	0.023657	0.023651	-347084.605
180620	0.023313	0.023278	-347079.991
180630	0.023107	0.023070	-347053.529
180640	0.023753	0.023677	-347051.777
180650	0.023231	0.023195	-347065.474
180660	0.023765	0.023755	-347072.392
180670	0.023954	0.023942	-347081.405
180680	0.024384	0.024358	-347073.965
180690	0.023812	0.023793	-347054.472
180700	0.023951	0.023917	-347096.752
180710	0.023289	0.023254	-347056.407
180720	0.023229	0.023132	-347078.956
180730	0.023667	0.023638	-347093.623
180740	0.023700	0.023632	-347081.199
180750	0.023691	0.023630	-347115.621
180760	0.023491	0.023448	-347063.367
180770	0.023729	0.023692	-347086.558
180780	0.023413	0.023332	-347084.955
180790	0.023664	0.023652	-347096.555
180800	0.023458	0.023412	-347059.168
180810	0.023510	0.023497	-347082.220
180820	0.023579	0.023529	-347067.786
180830	0.023278	0.023194	-347062.911
180840	0.023121	0.023030	-347060.886
180850	0.023617	0.023562	-347058.890
180860	0.023328	0.023310	-347065.823
180870	0.023694	0.023679	-347052.762
180880	0.023896	0.023873	-347083.228
180890	0.023671	0.023630	-347058.006
180900	0.023642	0.023609	-347062.770
180910	0.023410	0.023382	-347067.328
180920	0.023229	0.023186	-347059.156
180930	0.023402	0.023372	-347093.443
180940	0.023223	0.023204	-347056.925
180950	0.023651	0.023591	-347066.133
180960	0.023736	0.023653	-347065.817
180970	0.024015	0.023870	-347053.439
180980	0.023993	0.023822	-347056.093
180990	0.023453	0.023351	-347075.538
181000	0.023804	0.023752	-347071.105
181010	0.023575	0.023521	-347074.687
181020	0.024223	0.024145	-347099.792
