Gen	tau_3OneOG	lnL
3500	0.024304	-423421.882
3510	0.028218	-418092.387
3520	0.028949	-412726.439
3530	0.027619	-404548.568
3540	0.042561	-398104.287
3550	0.037974	-412237.202
3560	0.018297	-407773.761
3570	0.017252	-424772.052
3580	0.023236	-413127.572
3590	0.023681	-413181.516
3600	0.015918	-415167.559
3610	0.019804	-429600.189
3620	0.033485	-418751.407
3630	0.033865	-393990.325
3640	0.020337	-414442.176
3650	0.022622	-422461.879
3660	0.041079	-401764.208
3670	0.035515	-415113.956
3680	0.026119	-420742.604
3690	0.054299	-398880.198
3700	0.026105	-425336.555
3710	0.033456	-421275.881
3720	0.029574	-440266.079
3730	0.029780	-416664.796
3740	0.038488	-403222.023
3750	0.027230	-414977.532
3760	0.018900	-423156.992
3770	0.036059	-415892.007
3780	0.022644	-427982.240
3790	0.011586	-440190.739
3800	0.034007	-414189.350
3810	0.023202	-429331.082
3820	0.016008	-421795.332
3830	0.013348	-439261.748
3840	0.016500	-404299.215
3850	0.013338	-417244.411
3860	0.018781	-423685.677
3870	0.013409	-442601.952
3880	0.017471	-429656.932
3890	0.017640	-433762.497
3900	0.030787	-397866.263
3910	0.019725	-416780.012
3920	0.019470	-418265.708
3930	0.027397	-399657.794
3940	0.031723	-394772.141
3950	0.034668	-392036.182
3960	0.028961	-413860.048
3970	0.026380	-413180.975
3980	0.021016	-426950.715
3990	0.036197	-409435.262
4000	0.014889	-428036.104
4010	0.016392	-415268.375
4020	0.012999	-429853.518
4030	0.026608	-390859.463
4040	0.020086	-413726.026
4050	0.027396	-395463.825
4060	0.023556	-399295.609
4070	0.021830	-423977.655
4080	0.030208	-397007.743
4090	0.028711	-417818.379
4100	0.036363	-408150.889
4110	0.018208	-425580.441
4120	0.033279	-400971.877
4130	0.023821	-420141.562
4140	0.026325	-405169.572
4150	0.026740	-409112.190
4160	0.030330	-412198.771
4170	0.035238	-412214.319
4180	0.027144	-413169.220
4190	0.061044	-416333.904
4200	0.048485	-409094.266
4210	0.058538	-419264.962
4220	0.044729	-431130.343
4230	0.051835	-422156.853
4240	0.036804	-416015.906
4250	0.063167	-416917.443
4260	0.069050	-452559.306
4270	0.027125	-455718.321
4280	0.046581	-427002.140
4290	0.040364	-411587.873
4300	0.050534	-438531.716
4310	0.038328	-455482.564
4320	0.042991	-424136.954
4330	0.033493	-422729.743
4340	0.042598	-426689.724
4350	0.067818	-402486.901
4360	0.043824	-447330.630
4370	0.052539	-430007.121
4380	0.078240	-431517.213
4390	0.071885	-446791.795
4400	0.091311	-431073.167
4410	0.100550	-413013.753
4420	0.075857	-434601.880
4430	0.053292	-448218.940
4440	0.074253	-451400.030
4450	0.038687	-458523.372
4460	0.046567	-436319.664
4470	0.053791	-429844.792
4480	0.074980	-414960.609
4490	0.042617	-457620.079
4500	0.045142	-422304.029
4510	0.036893	-403432.018
4520	0.045615	-398723.110
4530	0.017090	-443470.277
4540	0.019583	-440279.070
4550	0.018214	-440267.246
4560	0.027465	-404526.530
4570	0.027328	-409193.215
4580	0.018841	-421333.606
4590	0.022719	-417144.142
4600	0.023000	-422657.393
4610	0.022086	-425660.496
4620	0.018340	-436130.374
4630	0.025761	-427612.022
4640	0.042295	-431973.568
4650	0.042306	-432021.279
4660	0.080203	-420085.067
4670	0.054007	-448360.473
4680	0.063178	-433908.164
4690	0.024130	-459534.484
4700	0.034396	-420751.549
4710	0.047889	-413157.513
4720	0.069808	-414995.570
4730	0.043851	-408624.872
4740	0.045841	-408822.522
4750	0.041901	-433175.218
4760	0.031873	-395857.644
4770	0.023701	-422104.862
4780	0.025287	-436348.620
4790	0.036293	-417005.761
4800	0.048589	-417770.356
4810	0.040730	-398529.332
4820	0.020094	-454760.225
4830	0.031161	-400356.520
4840	0.027277	-446990.809
4850	0.027407	-441164.738
4860	0.024415	-422672.276
4870	0.051456	-392666.839
4880	0.035073	-396589.906
4890	0.074068	-409476.567
4900	0.052522	-436501.131
4910	0.052503	-432595.229
4920	0.050949	-408831.954
4930	0.025867	-450009.940
4940	0.036344	-411664.037
4950	0.040100	-409889.989
4960	0.042383	-415910.968
4970	0.032372	-420227.056
4980	0.023045	-451905.559
4990	0.021553	-441649.871
5000	0.029150	-422656.907
5010	0.059592	-427749.372
5020	0.029626	-421411.519
5030	0.032506	-397992.537
5040	0.025044	-423087.136
5050	0.018946	-427033.406
5060	0.024646	-406839.825
5070	0.031374	-426434.176
5080	0.034166	-428332.510
5090	0.034371	-440364.400
5100	0.030943	-417831.514
5110	0.041602	-416505.527
5120	0.031753	-438474.025
5130	0.031841	-430125.858
5140	0.028096	-422173.193
5150	0.047970	-408536.860
5160	0.026895	-421474.306
5170	0.019066	-414930.968
5180	0.015711	-418570.645
5190	0.016992	-413745.591
5200	0.019486	-415129.125
5210	0.014523	-434991.962
5220	0.016153	-412328.359
5230	0.017025	-413021.315
5240	0.015748	-400654.038
5250	0.031198	-394637.898
5260	0.028260	-399304.713
5270	0.017486	-402674.844
5280	0.013949	-416858.337
5290	0.033623	-407000.618
5300	0.016598	-426329.380
5310	0.021263	-449856.518
5320	0.027640	-409320.456
5330	0.019541	-416806.769
5340	0.027027	-396920.018
5350	0.016180	-436848.919
5360	0.019972	-437174.339
5370	0.025716	-422005.145
5380	0.025825	-433489.846
5390	0.018553	-419836.092
5400	0.023551	-404633.351
5410	0.023551	-423520.809
5420	0.019644	-436712.594
5430	0.030323	-403731.049
5440	0.034113	-412618.672
5450	0.034103	-414518.641
5460	0.034034	-405944.692
5470	0.031900	-404138.789
5480	0.046725	-426887.663
5490	0.047360	-395198.110
5500	0.037180	-414098.317
5510	0.041118	-416378.168
5520	0.026130	-419427.353
5530	0.047119	-407933.148
5540	0.036283	-432104.331
5550	0.042052	-405683.366
5560	0.020619	-438018.604
5570	0.022305	-444572.080
5580	0.039953	-399256.493
5590	0.032312	-404945.866
5600	0.012665	-440783.539
5610	0.042392	-411839.136
5620	0.066023	-437112.757
5630	0.021385	-450732.412
5640	0.024900	-425216.571
5650	0.024200	-428876.268
5660	0.025922	-416540.848
5670	0.032669	-407682.717
5680	0.034543	-414133.633
5690	0.015327	-423472.970
5700	0.031919	-411354.504
5710	0.013436	-437949.883
5720	0.026325	-413605.248
5730	0.040091	-408487.563
5740	0.019807	-404238.005
5750	0.018266	-433965.089
5760	0.024097	-415555.647
5770	0.020302	-413837.066
5780	0.018674	-436552.287
5790	0.017899	-426404.631
5800	0.031378	-401674.009
5810	0.022339	-419597.856
5820	0.026553	-420699.340
5830	0.027235	-421991.156
5840	0.030787	-417502.890
5850	0.037638	-401552.301
5860	0.034099	-425188.706
5870	0.024829	-413676.990
5880	0.020958	-416838.903
5890	0.017583	-429459.391
5900	0.022411	-406914.994
5910	0.028612	-396340.635
5920	0.026311	-410308.101
5930	0.026311	-424646.034
5940	0.026769	-430676.225
5950	0.037334	-397441.972
5960	0.026561	-410569.388
5970	0.025224	-415447.459
5980	0.045863	-396521.153
5990	0.026936	-428121.107
6000	0.032379	-409459.210
6010	0.043557	-396242.834
6020	0.022516	-425901.842
6030	0.045804	-403227.884
6040	0.046201	-409515.344
6050	0.039498	-413299.256
6060	0.023951	-431883.465
6070	0.032944	-416502.371
6080	0.036756	-414460.636
6090	0.030402	-425921.554
6100	0.044260	-408843.239
6110	0.024673	-412599.798
6120	0.041162	-410906.941
6130	0.039106	-411746.349
6140	0.061495	-400474.883
6150	0.055570	-445485.979
6160	0.023387	-446450.169
6170	0.036614	-458812.950
6180	0.038566	-424075.158
6190	0.018379	-452752.263
6200	0.022011	-426194.418
6210	0.036914	-417885.762
6220	0.026996	-433987.711
6230	0.024632	-437421.756
6240	0.043909	-418830.848
6250	0.044915	-405138.736
6260	0.020207	-434794.925
6270	0.033141	-408411.395
6280	0.037062	-407433.339
6290	0.025582	-427840.886
6300	0.028994	-421888.851
6310	0.028881	-419220.071
6320	0.023495	-435538.776
6330	0.013521	-441573.118
6340	0.030673	-408939.222
6350	0.032430	-390588.052
6360	0.043164	-406578.930
6370	0.026739	-406813.333
6380	0.030377	-398944.484
6390	0.019202	-435388.665
6400	0.026317	-413325.035
6410	0.042736	-394625.196
6420	0.020424	-430623.934
6430	0.039058	-411486.482
6440	0.046158	-412756.295
6450	0.018920	-423335.029
6460	0.059376	-400593.415
6470	0.038263	-407874.986
6480	0.029656	-407853.378
6490	0.033934	-398480.004
