Gen	tau_3OneOG	lnL
6700	0.022746	-347062.847
6710	0.022472	-347066.997
6720	0.022533	-347064.648
6730	0.021743	-347077.544
6740	0.021741	-347075.268
6750	0.022111	-347065.841
6760	0.021880	-347068.426
6770	0.022020	-347083.378
6780	0.022086	-347068.271
6790	0.021670	-347087.065
6800	0.021974	-347071.281
6810	0.021457	-347065.655
6820	0.021638	-347075.525
6830	0.021653	-347062.811
6840	0.022138	-347063.928
6850	0.021685	-347080.673
6860	0.021586	-347060.925
6870	0.021508	-347075.636
6880	0.021567	-347063.665
6890	0.021709	-347062.204
6900	0.021965	-347055.345
6910	0.021925	-347064.973
6920	0.021994	-347064.185
6930	0.022324	-347070.446
6940	0.022023	-347076.594
6950	0.022275	-347065.332
6960	0.022290	-347066.588
6970	0.022290	-347066.107
6980	0.022368	-347071.958
6990	0.022229	-347064.991
7000	0.022232	-347073.994
7010	0.022208	-347069.561
7020	0.022032	-347061.325
7030	0.021941	-347070.684
7040	0.022279	-347077.108
7050	0.022343	-347066.751
7060	0.022592	-347078.362
7070	0.022675	-347064.938
7080	0.022576	-347055.640
7090	0.022727	-347068.568
7100	0.022513	-347065.471
7110	0.021990	-347062.871
7120	0.022007	-347064.043
7130	0.022261	-347068.719
7140	0.022347	-347065.814
7150	0.022084	-347069.960
7160	0.022043	-347068.387
7170	0.022091	-347073.752
7180	0.022137	-347083.221
7190	0.021864	-347070.462
7200	0.021835	-347066.163
7210	0.021742	-347073.274
7220	0.021950	-347062.047
7230	0.021727	-347065.793
7240	0.021790	-347066.536
7250	0.021578	-347060.151
7260	0.021671	-347067.859
7270	0.021566	-347072.345
7280	0.021440	-347076.122
7290	0.021317	-347071.440
7300	0.021043	-347072.026
7310	0.021365	-347086.841
7320	0.021120	-347063.370
7330	0.021266	-347070.962
7340	0.021468	-347080.396
7350	0.021107	-347067.914
7360	0.021109	-347060.908
7370	0.021056	-347075.892
7380	0.021024	-347085.644
7390	0.021258	-347058.792
7400	0.021155	-347058.742
7410	0.021324	-347078.613
7420	0.021275	-347071.790
7430	0.021163	-347063.738
7440	0.021189	-347076.348
7450	0.021531	-347070.009
7460	0.021844	-347090.713
7470	0.021094	-347069.280
7480	0.021236	-347066.993
7490	0.021284	-347065.649
7500	0.021291	-347070.935
7510	0.021324	-347083.832
7520	0.020949	-347070.894
7530	0.021149	-347059.514
7540	0.021240	-347076.279
7550	0.021035	-347067.472
7560	0.021023	-347062.544
7570	0.021081	-347067.060
7580	0.020923	-347070.482
7590	0.021065	-347079.579
7600	0.021100	-347068.605
7610	0.020627	-347070.669
7620	0.020645	-347065.347
7630	0.020950	-347053.435
7640	0.020846	-347060.410
7650	0.021285	-347081.456
7660	0.020906	-347073.495
7670	0.020914	-347079.498
7680	0.021103	-347062.321
7690	0.021273	-347065.066
7700	0.020990	-347069.062
7710	0.021241	-347075.675
7720	0.020910	-347081.114
7730	0.020834	-347055.616
7740	0.021013	-347061.355
7750	0.021027	-347052.823
7760	0.021348	-347063.767
7770	0.021484	-347081.304
7780	0.021450	-347061.672
7790	0.021512	-347063.531
7800	0.021458	-347066.027
7810	0.021369	-347057.589
7820	0.021471	-347063.600
7830	0.021397	-347061.277
7840	0.021666	-347066.158
7850	0.021422	-347076.890
7860	0.021764	-347054.028
7870	0.021778	-347058.670
7880	0.021813	-347079.640
7890	0.021577	-347083.315
7900	0.021546	-347077.880
7910	0.021487	-347064.293
7920	0.021470	-347077.732
7930	0.021323	-347068.623
7940	0.021107	-347071.134
