Gen	tau_4MEFEOG	tau_5MEFE	lnL
3860	0.032861	0.020361	-408669.591
3870	0.048503	0.013200	-423696.886
3880	0.025254	0.012004	-453277.078
3890	0.035886	0.023364	-409447.259
3900	0.025543	0.011139	-421715.478
3910	0.040435	0.021079	-403662.798
3920	0.057827	0.015609	-424730.977
3930	0.071736	0.034872	-451507.346
3940	0.033505	0.021968	-412683.069
3950	0.160218	0.037417	-419817.369
3960	0.055595	0.006467	-458916.667
3970	0.030333	0.014074	-450218.569
3980	0.041959	0.018731	-414029.251
3990	0.064222	0.007953	-445301.598
4000	0.060769	0.025167	-426849.213
4010	0.136909	0.055266	-406753.737
4020	0.038131	0.008312	-448302.493
4030	0.031332	0.014846	-438608.072
4040	0.023207	0.004520	-484739.037
4050	0.038941	0.018900	-417802.463
4060	0.033742	0.019405	-423687.268
4070	0.020622	0.009545	-459463.904
4080	0.133765	0.034664	-436660.335
4090	0.026788	0.021203	-444505.640
4100	0.037675	0.031939	-449070.538
4110	0.027309	0.022784	-437350.370
4120	0.044944	0.044050	-409338.301
4130	0.021024	0.014922	-445404.407
4140	0.014860	0.006265	-443521.995
4150	0.025941	0.024946	-419140.164
4160	0.011950	0.011366	-460068.295
4170	0.021767	0.020702	-450898.176
4180	0.011128	0.010583	-463860.555
4190	0.028758	0.027351	-422876.618
4200	0.031220	0.029692	-422093.963
4210	0.014257	0.013559	-445363.696
4220	0.018407	0.018244	-431949.916
4230	0.018407	0.018069	-425408.988
4240	0.017713	0.017388	-437778.236
4250	0.027206	0.026707	-433042.789
4260	0.028961	0.028430	-437675.453
4270	0.015549	0.015263	-458731.147
4280	0.025894	0.025419	-426628.734
4290	0.024326	0.023880	-430137.156
4300	0.036693	0.036020	-393810.387
4310	0.013134	0.010212	-457643.547
4320	0.020589	0.003638	-465792.829
4330	0.015398	0.006300	-419727.535
4340	0.014546	0.012797	-430865.910
4350	0.016167	0.014905	-420323.466
4360	0.023244	0.014364	-469429.514
4370	0.054307	0.035015	-429241.262
4380	0.038486	0.014537	-456946.853
4390	0.106759	0.068909	-403875.698
4400	0.049819	0.016635	-467445.916
4410	0.051982	0.034178	-424638.835
4420	0.039297	0.019367	-413781.786
4430	0.050758	0.035050	-441915.009
4440	0.030533	0.021455	-403105.398
4450	0.035516	0.015861	-420246.254
4460	0.049415	0.040410	-416199.741
4470	0.033302	0.027234	-435379.896
4480	0.027698	0.017885	-439677.742
4490	0.040578	0.023635	-442668.652
4500	0.031473	0.015164	-440881.262
4510	0.023835	0.016933	-453396.925
4520	0.024008	0.012647	-463538.471
4530	0.027980	0.018209	-461323.841
4540	0.036377	0.022650	-462298.442
4550	0.041059	0.035115	-423706.889
4560	0.094399	0.029816	-435241.029
4570	0.071134	0.027234	-462548.680
4580	0.039992	0.029361	-423525.270
4590	0.032787	0.022278	-428089.203
4600	0.047856	0.031667	-457107.727
4610	0.018679	0.017126	-450005.956
4620	0.049704	0.026707	-429629.721
4630	0.062238	0.035133	-435238.777
4640	0.029341	0.019260	-481004.605
4650	0.053093	0.021396	-448210.051
4660	0.029010	0.012373	-429834.974
4670	0.033961	0.011046	-446077.508
4680	0.034733	0.009495	-446768.222
4690	0.054226	0.028470	-421961.251
4700	0.054332	0.027206	-418859.484
4710	0.072114	0.035608	-434721.383
4720	0.061751	0.009539	-461895.556
4730	0.058715	0.029346	-446853.380
4740	0.036992	0.022644	-455100.721
4750	0.052718	0.025046	-446537.107
4760	0.089091	0.062736	-419908.664
4770	0.041970	0.018243	-469682.474
4780	0.040545	0.029719	-434082.482
4790	0.011900	0.005946	-468067.201
4800	0.024447	0.013989	-413934.727
4810	0.017462	0.014658	-438700.445
4820	0.035626	0.034210	-426106.187
4830	0.017798	0.017091	-432156.687
4840	0.011812	0.011343	-473509.363
4850	0.017386	0.015599	-465256.329
4860	0.029206	0.026205	-438556.969
4870	0.032912	0.029530	-424999.907
4880	0.021717	0.019485	-473031.435
4890	0.028340	0.023591	-461984.274
4900	0.034835	0.019253	-449094.414
4910	0.025193	0.013533	-436563.923
4920	0.032098	0.023316	-426577.798
4930	0.014263	0.007595	-441832.300
4940	0.029299	0.022344	-427125.520
4950	0.025880	0.008521	-480041.520
4960	0.016335	0.013101	-460956.760
4970	0.022990	0.018461	-428119.884
4980	0.010067	0.007594	-464939.921
4990	0.030201	0.026917	-442519.813
5000	0.025701	0.018316	-444052.958
5010	0.035253	0.034093	-434757.522
5020	0.055614	0.050841	-457328.310
5030	0.038348	0.011873	-451196.723
5040	0.015833	0.010291	-509840.889
5050	0.030243	0.024153	-438807.514
5060	0.009238	0.007797	-461941.569
5070	0.016400	0.014688	-426459.837
5080	0.015459	0.013845	-468920.108
5090	0.021930	0.019640	-437834.942
